name_match,name_steam,developer_steam,publisher_steam,price_steam,initialprice_steam,discount_steam,ccu,positive,owners_midpoint,approval_rate_steam,average_2weeks,name_gog,developer_gog,publisher_gog,price_gog,initialprice_gog,discount_gog,approval_rate_gog,name_epic,developer_epic,publisher_epic,price_epic,initialprice_epic,discount_epic,approval_rate_epic,stores_count,best_price,best_store,max_price,price_difference
among us,Among Us,Innersloth,Innersloth,8.99,14.99,40.0,3832.0,643681.0,35000000.0,91.85,115.0,,,,,,,,Among Us,Innersloth,Innersloth,9.99,9.99,0.0,,2,8.99,Steam,9.99,1.0
ark survival evolved,ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard, Snail Games USA",31.01,46.99,34.0,22170.0,612177.0,35000000.0,83.84,930.0,,,,,,,,ARK: Survival Evolved,Studio Wildcard,Unknown,39.99,39.99,0.0,,2,31.01,Steam,39.99,8.98
baldurs gate 3,Baldur's Gate 3,Larian Studios,Larian Studios,159.99,199.99,25.0,54771.0,736688.0,35000000.0,96.85,511.0,Baldur's Gate 3,Larian Studios,Larian Studios,199.99,199.99,0.0,92.0,,,,,,,,2,159.99,Steam,199.99,40.0
black myth wukong,Black Myth: Wukong,Game Science,Game Science,229.99,229.99,0.0,15004.0,1111720.0,75000000.0,96.66,548.0,,,,,,,,Black Myth: Wukong,Game Science,Game Science,229.99,229.99,0.0,,2,229.99,Steam & Epic Games,229.99,0.0
cyberpunk 2077,Cyberpunk 2077,CD PROJEKT RED,CD PROJEKT RED,199.9,199.9,0.0,22265.0,713071.0,35000000.0,84.39,424.0,Cyberpunk 2077,CD PROJEKT RED,CD PROJEKT RED,199.9,199.9,0.0,76.0,Cyberpunk 2077,CD PROJEKT RED,Unknown,199.9,199.9,0.0,,3,199.9,Steam & GOG & Epic Games,199.9,0.0
dead by daylight,Dead by Daylight,Behaviour Interactive Inc.,Behaviour Interactive Inc.,69.99,69.99,0.0,44886.0,630223.0,35000000.0,79.05,597.0,,,,,,,,Dead by Daylight,Behaviour Interactive,Behaviour Interactive,69.99,69.99,0.0,,2,69.99,Steam & Epic Games,69.99,0.0
fallout 4,Fallout 4,Bethesda Game Studios,Bethesda Softworks,59.99,59.99,0.0,11179.0,326054.0,15000000.0,83.12,788.0,Fallout 4: Game of the Year Edition,Bethesda Game Studios,Bethesda Softworks LLC,79.99,199.9,60.0,80.0,Fallout 4,Bethesda Game Studios,Bethesda Softworks,59.99,59.99,0.0,,3,59.99,Steam & Epic Games,79.99,19.999999999999993
hogwarts legacy,Hogwarts Legacy,Avalanche Software,Warner Bros. Games,249.99,249.99,0.0,5716.0,289966.0,35000000.0,90.22,262.0,,,,,,,,Hogwarts Legacy,Avalanche Software,Warner Bros. Games,249.99,249.99,0.0,,2,249.99,Steam & Epic Games,249.99,0.0
red dead redemption 2,Red Dead Redemption 2,Rockstar Games,Rockstar Games,299.9,299.9,0.0,29885.0,676667.0,15000000.0,92.25,423.0,,,,,,,,Red Dead Redemption 2,Rockstar Games,Unknown,299.0,299.0,0.0,,2,299.0,Epic Games,299.9,0.8999999999999773
satisfactory,Satisfactory,Coffee Stain Studios,Coffee Stain Publishing,107.99,107.99,0.0,12596.0,225479.0,15000000.0,97.16,830.0,,,,,,,,Satisfactory,Coffee Stain Studios,Coffee Stain Publishing,107.99,107.99,0.0,,2,107.99,Steam & Epic Games,107.99,0.0
sid meiers civilization vi,Sid Meier’s Civilization VI,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",129.0,129.0,0.0,25420.0,304053.0,15000000.0,86.89,773.0,,,,,,,,Sid Meier’s Civilization® VI,"2K Games, Inc.",Unknown,129.0,129.0,0.0,,2,129.0,Steam & Epic Games,129.0,0.0
stardew valley,Stardew Valley,ConcernedApe,ConcernedApe,24.99,24.99,0.0,50662.0,872384.0,35000000.0,98.44,603.0,Stardew Valley,ConcernedApe,ConcernedApe,24.99,24.99,0.0,96.0,,,,,,,,2,24.99,Steam & GOG,24.99,0.0
the witcher 3 wild hunt,The Witcher 3: Wild Hunt,CD PROJEKT RED,CD PROJEKT RED,129.99,129.99,0.0,15893.0,802993.0,35000000.0,96.13,527.0,The Witcher 3: Wild Hunt - Complete Edition,CD PROJEKT RED,CD PROJEKT RED,159.99,159.99,0.0,96.0,,,,,,,,2,129.99,Steam,159.99,30.0
the witcher 3 wild hunt,The Witcher 3: Wild Hunt,CD PROJEKT RED,CD PROJEKT RED,129.99,129.99,0.0,15893.0,802993.0,35000000.0,96.13,527.0,The Witcher 3: Wild Hunt,CD PROJEKT RED,CD PROJEKT RED,129.99,129.99,0.0,96.0,,,,,,,,2,129.99,Steam & GOG,129.99,0.0
